Dateiname,Bild,Erkannte Objekte
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/16ad59d82e00995896de83344427c42a.jpg,Bild 73,"agricultural labourer, agricultural labourer, weapon, sky, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/16ce127d158179d6149880e6667c3891.jpg,Bild 74,"agricultural labourer, agricultural labourer, agricultural labourer, headscarf, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/16e5b581030e3b6340c766ec31ed8b55.jpg,Bild 75,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/16edf02f467cc9c0414b4674429f1ac6.jpg,Bild 76,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/172752af52eaf0f53cabeec6b633a906.jpg,Bild 77,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1788109f8d183fd3bc1f43d530fe8b69.jpg,Bild 78,"agricultural labourer, agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/17bb4127213ca6518b2eee7b7c10c090.jpg,Bild 79,"flag, crane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/17ef59bc14a1fc8c6b47595921246c77.jpg,Bild 80,plane
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/17f60f01627095963c112f291d066f52.jpg,Bild 81,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/182a6a645b4d580342fdf29286842729.jpg,Bild 82,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/18f618e4ad8c937e8040aca0adff0037.jpg,Bild 83,"sky, agricultural labourer, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1904997f82846d3e1e8ebac4c70231ad.jpg,Bild 84,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/193e1950aafb841050a35492e2431730.jpg,Bild 85,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/197718bec1292b8d820a3bbdf22e30ab.jpg,Bild 86,"hammer, flag, flag, sickle"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/197afcfff25ff87f34ac7e8806f1446c.jpg,Bild 87,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/19d0e311d591415ce571a8f0ff719980.jpg,Bild 88,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1afb1a66fe07c435d7dc3bf216acf561.jpg,Bild 89,"factory worker, machinery, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1b125fd2c51ba8ecce3f36425e3413af.jpg,Bild 90,"agricultural labourer, agricultural labourer, sickle, agricultural labourer, factory worker, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1b3df82c6504490658d129960e5ec1f1.jpg,Bild 91,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1b5f54d756575d2d90dc7b5f32ffa37d.jpg,Bild 92,"headscarf, agricultural labourer, headscarf, agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1b6a5f2e25005fdf316b40dd84721adb.jpg,Bild 93,"agricultural labourer, sickle, hammer, headscarf, agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1bb16559366b0bf575146f307fb64ef3.jpg,Bild 94,"factory worker, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1bd53e14d5bbd232f4f3c3e528f56c35.jpg,Bild 95,"agricultural labourer, flag, factory worker, plane, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1cc0656fbb2d721e1071bdd9d564d579.jpg,Bild 96,"factory worker, agricultural labourer, factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1d3accf5f72c9f5ffc31b8e3c7b363b7.jpg,Bild 97,"agricultural labourer, weapon, weapon, plane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1d7321981655e83c7f31f0235bdeb6fb.jpg,Bild 98,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1de35a5f7e9539d016d9ae9f20f7db24.jpg,Bild 99,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1e4970dee879d08ee091c965c37c19b0.jpg,Bild 100,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1eaafc1355fa10a9edcf7a99470886f5.jpg,Bild 101,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1f634bf6e491f57f86c5188a03112796.jpg,Bild 102,"factory worker, flag, agricultural labourer, sickle, hammer, flag, office worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1fb2034395d5c42d1ed012daecbd30ad.jpg,Bild 103,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1fb73e88c706a8547bc3a8de901d28c4.jpg,Bild 104,"factory worker, factory worker, agricultural labourer, crane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/1fed40fdeacde0dd853fc9e1cb5dcadd.jpg,Bild 105,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2045bb972f08fab1d19b55935f812e7c.jpg,Bild 106,"agricultural labourer, sky, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2079f6512d2ac29fd0f289e37ad9389c.jpg,Bild 107,"factory worker, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/213996c2f7f404858ea67b4a321e0906.jpg,Bild 108,"flag, plane, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/21ae1ad89b1a2a11444b62e65e0a54ce.jpg,Bild 109,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/21f451b07a3501351825d4943ac4da81.jpg,Bild 110,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/22459cf9e00d9f14c4363006777194ad.jpg,Bild 111,"agricultural labourer, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/22777f46cc721ff739dc2c357a040c10.jpg,Bild 112,"crane, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/22cbb3ae6266e74776f750afab3edd9e.jpg,Bild 113,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2317fef8218956e74ddddd4f809e2743.jpg,Bild 114,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/23b907a7fe775581feacc8333b0daa76.jpg,Bild 115,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/23e87cb8e90e8666d576d78f503e63df.jpg,Bild 116,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/24090c51250fb6e70b5459a56e192d89.jpg,Bild 117,"agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/24d84409442c2f91cf08965c27ff571e.jpg,Bild 118,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/253d01a416d7922811567c864f215857.jpg,Bild 119,"factory worker, factory worker, headscarf, agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/254fa8c1f633b2e61371606d2ece97fc.jpg,Bild 120,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/258674194bf04ebe30721b18c65e909e.jpg,Bild 121,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/25be4dd8dbc98eda52465ba869f3e4ef.jpg,Bild 122,"agricultural labourer, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/25eb037e2d18a24385cea4111fb330f2.jpg,Bild 123,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2681617166ab3c15570404a7b7d302ed.jpg,Bild 124,"weapon, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/268684ed75123b845a2f55605275bd67.jpg,Bild 125,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/272815a5807a86bb0772e9efd38e7638.jpg,Bild 126,"agricultural labourer, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/27eda342dfa7583aeeb8aa3baaa36d4b.jpg,Bild 127,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/28a0e354e33e9498efef7e779a349261.jpg,Bild 128,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/28a82067180a3841a44d020075a23639.jpg,Bild 129,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/28ab42e9753bf64434333c2b4c685860.jpg,Bild 130,"factory worker, headscarf, agricultural labourer, agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/28d125ea0622ab9b99ec73c3e3011781.jpg,Bild 131,"office worker, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/28f40ac3cbe1c87a19c4e1660a629dad.jpg,Bild 132,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/29052ecb9a0261f5113e23ff74761551.jpg,Bild 133,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/290e528c27cc81f6516c6418b2d5711d.jpg,Bild 134,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/293b7a9cbb3bce06b7a5fbdb32145275.jpg,Bild 135,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2979091113263bf720c9435616b80059.jpg,Bild 136,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/297d188ec28e174bf465ead74bc56f45.jpg,Bild 137,"agricultural labourer, horse"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2a148cf3428ab61d341b750bf1c82085.jpg,Bild 138,"agricultural labourer, factory worker, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2a2074c09ef5114f31ee2fbad72645e5.jpg,Bild 139,"factory worker, flag, book"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2a54f062faf70d4f6afc07030eedcc97.jpg,Bild 140,"agricultural labourer, weapon, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2a6f1feb9dd44901be16290ccd2d6e79.jpg,Bild 141,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2aaadd66ea9dd919c8490cfe112ae227.jpg,Bild 142,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2b3eba2679bd0eecccf189393ca783e5.jpg,Bild 143,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2b40511e915970940b1924bea95b6953.jpg,Bild 144,"agricultural labourer, agricultural labourer, agricultural labourer, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2b6c2ddfba962ee318ce9bc5eaa333c3.jpg,Bild 145,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2b79d4db8742351b900bb90e3741500b.jpg,Bild 146,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2b963633736f29e59c5a9c214d527113.jpg,Bild 147,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2bc202a18635874fdae73729ef9046e4.jpg,Bild 148,"factory worker, office worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2be8731036725ed687bfeeebb73adbc3.jpg,Bild 149,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2c0a7bb2b4c44e72fe12ca561a5c4dbe.jpg,Bild 150,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2c14a5a926b91730a7de45a2ff7add06.jpg,Bild 151,"office worker, military, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2c5d249ed6b0cd2dafccb16d3dd4f318.jpg,Bild 152,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2c601d65107ee773cf923d6956a394d7.jpg,Bild 153,"weapon, weapon, weapon, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2cc965844528d13046ec1b3cb4676947.jpg,Bild 154,"agricultural labourer, sky, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2cfc85337323b0797d2ce83d061be4d2.jpg,Bild 155,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2d992de5f5092aef682e9335490d10b9.jpg,Bild 156,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2dbbc71a7b5bd19d9e49d07deab38a2d.jpg,Bild 157,"flag, flag, flag, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2dd85c938f9f039785a68033c5c6da38.jpg,Bild 158,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2dffa5cca896d488d4a23da40d42b4c1.jpg,Bild 159,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2e35fc711186c9836fe0d880ece47431.jpg,Bild 160,weapon
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2e3c07a564bf301cddabf5c8314cae24.jpg,Bild 161,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2ee0aded0dcd16434076e10344c7a3dd.jpg,Bild 162,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2f018bd3dc394e96debbb42cb92d8824.jpg,Bild 163,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2fd69374965030e72adcbaa75561441d.jpg,Bild 164,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/2fe49894973d135af0fd51f8935c8de3.jpg,Bild 165,"agricultural labourer, headscarf, agricultural labourer, machinery, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/302cf8176352fa3befabed35762bad73.jpg,Bild 166,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/30344ac64c07ed5d4e75790eca875b0d.jpg,Bild 167,"plane, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3049a71fab3cdc8cbcf564204ef05a2e.jpg,Bild 168,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/308ac823808363e4fed03601d5c7877d.jpg,Bild 169,"machinery, military, machinery"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/30b239f1e4448825f600d1d008a111e7.jpg,Bild 170,"agricultural labourer, flag, headscarf, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/30df1e337dfd914d00157020ec20dd00.jpg,Bild 171,"factory worker, factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/31c02fee02b22969209a423f8d3df7d2.jpg,Bild 172,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3235ee9a7089ea59988fc7d645ac4432.jpg,Bild 173,plane
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3270c370c6e3b739eea3b83904e72c48.jpg,Bild 174,"agricultural labourer, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3278ed3463adfcd59a29b9b6797e96b9.jpg,Bild 175,"factory worker, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/32def481d768f5c564d188a9f66afb78.jpg,Bild 176,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3307296854837d0566aa3942e2c98ea7.jpg,Bild 177,"agricultural labourer, factory worker, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3323a341cd8e5a024896aaf247872885.jpg,Bild 178,"factory worker, crane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/332dcb99f61e40d71c28ff2f8b1c5404.jpg,Bild 179,"agricultural labourer, crane, crane, crane"
